980191047,Ol-Kalou,980190979
980191048,Ol-Jorok,980190979
980191049,Ndaragua,980190979
980191050,Tetu,980190980
980191051,Kieni,980190980
980191052,Mathira,980190980
980191053,Othaya,980190980
980191054,Mukurwe-ini,980190980
980191055,Nyeri Town,980190980
980191056,Mwea,980190981
980191057,Gichugu,980190981
980191058,Ndia,980190981
980191059,Kirinyaga Central,980190981
980191060,Kangema,980190982
980191061,Mathioya,980190982
980191062,Kiharu,980190982
980191063,Kigumo,980190982
980191064,Maragwa,980190982
980191065,Kandara,980190982
980191066,Gatanga,980190982
980191067,Gatundu South,980190983
980191068,Gatundu North,980190983
980191069,Juja,980190983
980191070,Thika Town,980190983
980191071,Ruiru,980190983
980191072,Githunguri,980190983
980191073,Kiambu County,980190983
980191074,Kiambaa,980190983
980191075,Kabete,980190983
980191076,Kikuyu,980190983
980191077,Limuru,980190983
980191078,Lari,980190983
980191079,Turkana North,980190984
980191080,Turkana West,980190984
980191081,Turkana Central,980190984
980191082,Loima,980190984
980191083,Turkana South,980190984
980191084,Turkana East,980190984
980191085,Kapenguria,980190985
980191086,Sigor,980190985
980191087,Kacheliba,980190985
980191088,Pokot South,980190985
980191089,Samburu West,980190986
980191090,Samburu East,980190986
980191091,Samburu North,980190986
980191092,Kwanza,980190987
980191093,Endebes,980190987
980191094,Saboti,980190987
980191095,Kiminini,980190987
980191096,Cheranganyi,980190987
980191097,Soy,980190988
980191098,Turbo,980190988
980191099,Moiben,980190988
980191100,Ainabkoi,980190988
980191101,Kapseret,980190988
980191102,Kesses,980190988
980191103,Marakwet East,980190989
980191104,Marakwet West,980190989
980191105,Keiyo East,980190989
980191106,Keiyo South,980190989
980191107,Tinderet,980190990
980191108,Aldai,980190990
980191109,Nandi Hills,980190990
980191110,Emgwen North,980190990
980191111,Emgwen South,980190990
980191112,Mosop,980190990
980191113,Baringo East,980190991
980191114,Baringo West,980190991
980191115,Baringo Central,980190991
980191116,Mochongoi,980190991
980191117,Eldama Ravine,980190991
980191118,Laikipia West,980190992
980191119,Laikipia East,980190992
980191120,Laikipia North,980190992
980191121,Molo,980190993
980191122,Njoro,980190993
980191123,Naivasha,980190993
980191124,Gilgil,980190993
980191125,Kuresoi South,980190993
980191126,Kuresoi North,980190993
980191127,Subukia,980190993
980191128,Rongai,980190993
980191129,Bahati,980190993
980191130,Nakuru Town West,980190993
980191131,Nakuru Town East,980190993
980191132,Kilgoris,980190994
980191133,Emurua Dikiri,980190994
980191134,Narok North,980190994
980191135,Narok east,980190994
980191136,Narok South,980190994
980191137,Narok West,980190994
980191138,Kajiado North,980190995
980191139,Kajiado Central,980190995
980191140,Kajiado East,980190995
980191141,Kajiado South,980190995
980191142,Kipkelion East,980190996
980191143,Kipkerion West,980190996
980191144,Ainamoi,980190996
980191145,Buret,980190996
980191146,Belgut,980190996
980191147,Sigowet,980190996
980191148,Sotik,980190997
980191149,Chepalungu,980190997
980191150,Bonet East,980190997
980191151,Konoin,980190997
980191152,Lugari,980190998
980191153,Likuyani,980190998
980191154,Malava,980190998
980191155,Alurambi,980190998
980191156,Navakholo,980190998
980191157,Mumias,980190998
980191158,Mumias East,980190998
980191159,Matungu,980190998
980191160,Butere,980190998
980191161,Khwisero,980190998
980191162,Sinyalu,980190998
980191163,Ikolomani,980190998
980191164,Sabatia,980190999
980191165,Hamisi,980190999
980191166,Emuhaya,980190999
980191167,Luanda,980190999
980191168,Mt Elgon,980191000
980191169,Sirisia,980191000
980191170,Kabuchai,980191000
980191171,Bumula,980191000
980191172,Kanduyi,980191000
980191173,Webuye,980191000
980191174,Bokoli,980191000
980191175,Kimilili,980191000
980191176,Tongaren,980191000
980191177,Teso North,980191001
980191178,Teso South,980191001
980191179,Nambale,980191001
980191180,Matayos,980191001
980191181,Butula,980191001
980191182,Funyula,980191001
980191183,BudalangÕi,980191001
980191184,Ugenya,980191002
980191185,Ugunja,980191002
980191186,Alego Usonga,980191002
980191187,Gem,980191002
980191188,Bondo,980191002
980191189,Rarieda,980191002
980191190,Kisumu East,980191003
980191191,Kisumu West,980191003
980191192,Kisumu Central,980191003
980191193,Seme,980191003
980191194,Nyando,980191003
980191195,Muhoroni,980191003
980191196,Nyakach,980191003
980191197,Kasipul-Kabondo,980191004
980191198,Kabondo,980191004
980191199,Karachuonyo,980191004
980191200,Rangwe,980191004
980191201,Homa Bay Town,980191004
980191202,Ndhiwa,980191004
980191203,Mbita,980191004
980191204,Gwasi,980191004
980191205,Rongo,980191005
980191206,Awedo,980191005
980191207,Migori East,980191005
980191208,Migori West,980191005
980191209,Uriri,980191005
980191210,Nyatike,980191005
980191211,Kuria East,980191005
980191212,Kuria West,980191005
980191213,Bonchari,980191006
980191214,South Mugirango,980191006
980191215,Bomachoge,980191006
980191216,Mugirango,980191006
980191217,Bobasi,980191006
980191218,Gucha,980191006
980191219,Nyaribari Masaba,980191006
980191220,Nyaribari Chache,980191006
980191221,Marani,980191006
980191222,Mosocho,980191006
980191223,Kitutu Masaba,980191007
980191224,West Mugirango,980191007
980191225,North Mugirango,980191007
980191226,Borabu,980191007
980191227,Parklands,980191008
980191228,Dagoretti,980191008
980191229,Langata,980191008
980191230,Kibra,980191008
980191231,Roysambu,980191008
980191232,Kasarani,980191008
980191233,Ruaraka,980191008
980191234,Kariobangi,980191008
980191235,Kayole,980191008
980191236,Embakasi,980191008
980191237,Mihango,980191008
980191238,Nairobi-West,980191008
980191239,Makadara,980191008
980191240,Kamukunji,980191008
980191241,Starehe,980191008
980191242,Mathare,980191008
980191243,Dujis,980191009
980191244,Fafi,980191009
980191245,Lagdera,980191009
